
 Version: 2.1
 Chunks: 1
 Start: 2024-07-10 09:41:13 (UTC)
 Duration: 6 s

 Event Type                                   Count  Size (bytes) 
==================================================================
 jdk.BooleanFlag                                526         15557
 jdk.ModuleExport                               503          4854
 jdk.ActiveSetting                              361         11137
 jdk.GCPhaseParallel                            312          7544
 jdk.NativeMethodSample                         305          3050
 jdk.SystemProcess                              282         15369
 jdk.LongFlag                                   198          6379
 jdk.ModuleRequire                              151          1359
 jdk.UnsignedLongFlag                           145          4809
 jdk.NativeLibrary                              133          8911
 jdk.InitialSecurityProperty                     47          3551
 jdk.InitialEnvironmentVariable                  47          2817
 jdk.ClassLoaderStatistics                       46          1069
 jdk.ThreadAllocationStatistics                  34           326
 jdk.CheckPoint                                  31         76835
 jdk.StringFlag                                  29           890
 jdk.ObjectAllocationSample                      18           250
 jdk.InitialSystemProperty                       16          2187
 jdk.TenuringDistribution                        15           153
 jdk.Deoptimization                              14           324
 jdk.DoubleFlag                                  11           432
 jdk.ThreadStart                                  9            99
 jdk.JavaErrorThrow                               7           812
 jdk.ThreadEnd                                    6            54
 jdk.CodeCacheStatistics                          6           180
 jdk.IntFlag                                      6           218
 jdk.UnsignedIntFlag                              6           200
 jdk.MetaspaceChunkFreeListSummary                4            72
 jdk.GCReferenceStatistics                        4            41
 jdk.GCPhasePauseLevel1                           4           162
 jdk.CPULoad                                      4            76
 jdk.JavaThreadStatistics                         4            44
 jdk.ClassLoadingStatistics                       4            40
 jdk.CompilerStatistics                           4           108
 jdk.ExceptionStatistics                          4            48
 jdk.ThreadCPULoad                                3            48
 jdk.ThreadSleep                                  2            32
 jdk.GCHeapSummary                                2            78
 jdk.MetaspaceSummary                             2            98
 jdk.G1HeapSummary                                2            40
 jdk.GCPhasePauseLevel2                           2            78
 jdk.PhysicalMemory                               2            34
 jdk.ExecutionSample                              2            20
 jdk.ThreadDump                                   2         20859
 jdk.CodeSweeperStatistics                        2            42
 jdk.GCConfiguration                              2            50
 jdk.Metadata                                     1         96318
 jdk.ActiveRecording                              1            96
 jdk.JavaMonitorEnter                             1            23
 jdk.DirectBufferStatistics                       1            21
 jdk.GarbageCollection                            1            22
 jdk.YoungGarbageCollection                       1            13
 jdk.G1GarbageCollection                          1            13
 jdk.G1MMU                                        1            13
 jdk.EvacuationInformation                        1            25
 jdk.G1EvacuationYoungStatistics                  1            26
 jdk.G1EvacuationOldStatistics                    1            17
 jdk.G1BasicIHOP                                  1            37
 jdk.G1AdaptiveIHOP                               1            38
 jdk.GCPhasePause                                 1            23
 jdk.Shutdown                                     1            47
 jdk.JVMInformation                               1           503
 jdk.OSInformation                                1           115
 jdk.VirtualizationInformation                    1            21
 jdk.CPUInformation                               1          1666
 jdk.CPUTimeStampCounter                          1            18
 jdk.CompilerConfiguration                        1             9
 jdk.CodeCacheConfiguration                       1            43
 jdk.CodeSweeperConfiguration                     1            12
 jdk.GCSurvivorConfiguration                      1            10
 jdk.GCTLABConfiguration                          1            12
 jdk.GCHeapConfiguration                          1            26
 jdk.YoungGenerationConfiguration                 1            17
 jdk.ThreadPark                                   0             0
 jdk.ContainerConfiguration                       0             0
 jdk.JavaMonitorWait                              0             0
 jdk.JavaMonitorInflate                           0             0
 jdk.ContainerCPUUsage                            0             0
 jdk.Deserialization                              0             0
 jdk.SyncOnValueBasedClass                        0             0
 jdk.BiasedLockRevocation                         0             0
 jdk.BiasedLockSelfRevocation                     0             0
 jdk.ContainerCPUThrottling                       0             0
 jdk.ProcessStart                                 0             0
 jdk.BiasedLockClassRevocation                    0             0
 jdk.ReservedStackActivation                      0             0
 jdk.ClassLoad                                    0             0
 jdk.ContainerMemoryUsage                         0             0
 jdk.SecurityPropertyModification                 0             0
 jdk.ClassDefine                                  0             0
 jdk.ClassRedefinition                            0             0
